time (s),v("/A0" ?result "tran") (V)
20.55E-9,0.000
20.60E-9,0.000
20.68E-9,0.000
20.77E-9,0.000
20.90E-9,0.000
21.06E-9,0.000
21.27E-9,0.000
21.49E-9,0.000
21.73E-9,0.000
21.92E-9,0.000
22.22E-9,0.000
22.50E-9,0.000
22.50E-9,0.000
22.50E-9,0.000
22.50E-9,0.000
22.50E-9,0.000
22.50E-9,0.000
22.51E-9,0.000
22.51E-9,0.000
22.52E-9,0.000
22.53E-9,0.000
22.53E-9,0.000
22.53E-9,0.000
22.54E-9,0.000
22.54E-9,0.000
22.54E-9,0.000
22.54E-9,0.000
22.54E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.55E-9,0.000
22.56E-9,0.000
22.56E-9,0.000
22.56E-9,0.000
22.57E-9,0.000
22.57E-9,0.000
22.58E-9,0.000
22.58E-9,0.000
22.59E-9,0.000
22.59E-9,0.000
22.60E-9,0.000
22.61E-9,0.000
22.61E-9,0.000
22.62E-9,0.000
22.62E-9,0.000
22.62E-9,0.000
22.62E-9,0.000
22.63E-9,0.000
22.63E-9,0.000
22.63E-9,0.000
22.63E-9,0.000
22.64E-9,0.000
22.64E-9,0.000
22.65E-9,0.000
22.65E-9,0.000
22.66E-9,0.000
22.67E-9,0.000
22.68E-9,0.000
22.70E-9,0.000
22.72E-9,0.000
22.75E-9,0.000
22.79E-9,0.000
22.87E-9,0.000
22.96E-9,0.000
23.09E-9,0.000
23.26E-9,0.000
23.49E-9,0.000
23.80E-9,0.000
24.23E-9,0.000
24.62E-9,0.000
25.00E-9,0.000
25.00E-9,1.953E-3
25.00E-9,5.859E-3
25.00E-9,13.67E-3
25.00E-9,22.82E-3
25.00E-9,38.30E-3
25.01E-9,64.86E-3
25.01E-9,105.8E-3
25.02E-9,169.7E-3
25.03E-9,263.4E-3
25.03E-9,313.2E-3
25.04E-9,361.9E-3
25.04E-9,412.8E-3
25.05E-9,456.4E-3
25.05E-9,500.0E-3
25.05E-9,501.0E-3
25.05E-9,503.1E-3
25.05E-9,507.2E-3
25.05E-9,508.7E-3
25.05E-9,511.6E-3
25.05E-9,517.5E-3
25.05E-9,529.2E-3
25.05E-9,535.0E-3
25.05E-9,546.7E-3
25.06E-9,570.0E-3
25.06E-9,606.6E-3
25.06E-9,638.7E-3
25.07E-9,672.9E-3
25.07E-9,716.7E-3
25.08E-9,758.3E-3
25.08E-9,798.4E-3
25.08E-9,846.9E-3
25.09E-9,887.4E-3
25.09E-9,928.1E-3
25.10E-9,964.0E-3
25.10E-9,1.000
25.10E-9,1.000
25.10E-9,1.000
25.10E-9,1.000
25.10E-9,1.000
25.10E-9,1.000
25.10E-9,1.000
25.10E-9,1.000
25.11E-9,1.000
25.11E-9,1.000
25.12E-9,1.000
25.13E-9,1.000
25.14E-9,1.000
25.15E-9,1.000
25.16E-9,1.000
25.18E-9,1.000
25.20E-9,1.000
25.21E-9,1.000
25.23E-9,1.000
25.25E-9,1.000
25.29E-9,1.000
25.34E-9,1.000
25.40E-9,1.000
25.49E-9,1.000
25.60E-9,1.000
25.75E-9,1.000
25.96E-9,1.000
26.15E-9,1.000
26.36E-9,1.000
26.63E-9,1.000
26.83E-9,1.000
27.05E-9,1.000
27.27E-9,1.000
27.50E-9,1.000
27.50E-9,1.000
27.50E-9,1.000
27.50E-9,1.000
27.50E-9,1.000
27.50E-9,1.000
27.51E-9,1.000
27.51E-9,1.000
27.52E-9,1.000
27.53E-9,1.000
27.53E-9,1.000
27.53E-9,1.000
27.54E-9,1.000
27.54E-9,1.000
27.54E-9,1.000
27.54E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.55E-9,1.000
27.56E-9,1.000
27.56E-9,1.000
27.56E-9,1.000
27.57E-9,1.000
27.57E-9,1.000
27.58E-9,1.000
27.58E-9,1.000
27.59E-9,1.000
27.59E-9,1.000
27.60E-9,1.000
27.60E-9,1.000
27.61E-9,1.000
27.61E-9,1.000
27.62E-9,1.000
27.62E-9,1.000
27.62E-9,1.000
27.63E-9,1.000
27.63E-9,1.000
27.63E-9,1.000
27.63E-9,1.000
27.64E-9,1.000
27.64E-9,1.000
27.65E-9,1.000
27.66E-9,1.000
27.67E-9,1.000
27.68E-9,1.000
27.70E-9,1.000
27.73E-9,1.000
27.76E-9,1.000
27.83E-9,1.000
27.91E-9,1.000
28.03E-9,1.000
28.17E-9,1.000
28.38E-9,1.000
28.65E-9,1.000
29.03E-9,1.000
29.54E-9,1.000
30.00E-9,1.000
30.00E-9,998.0E-3
30.00E-9,994.1E-3
30.00E-9,986.3E-3
30.00E-9,977.1E-3
30.00E-9,961.2E-3
30.01E-9,936.2E-3
30.01E-9,895.7E-3
30.02E-9,843.6E-3
30.02E-9,769.0E-3
30.03E-9,682.0E-3
30.04E-9,628.7E-3
30.04E-9,573.1E-3
30.05E-9,536.5E-3
30.05E-9,500.0E-3
30.05E-9,499.2E-3
30.05E-9,497.7E-3
30.05E-9,494.7E-3
30.05E-9,490.1E-3
30.05E-9,488.1E-3
30.05E-9,484.1E-3
30.05E-9,476.2E-3
30.05E-9,472.2E-3
30.05E-9,464.3E-3
30.06E-9,448.4E-3
30.06E-9,416.7E-3
30.06E-9,383.7E-3
30.06E-9,353.2E-3
30.07E-9,321.2E-3
30.07E-9,274.9E-3
30.08E-9,239.3E-3
30.08E-9,200.4E-3
30.08E-9,154.8E-3
30.09E-9,104.3E-3
30.09E-9,64.24E-3
30.10E-9,0.000
30.10E-9,0.000
30.10E-9,0.000
30.10E-9,0.000
30.10E-9,0.000
30.10E-9,0.000
30.11E-9,0.000
30.11E-9,0.000
30.12E-9,0.000
30.13E-9,0.000
30.14E-9,0.000
30.15E-9,0.000
30.16E-9,0.000
30.17E-9,0.000
30.18E-9,0.000
30.19E-9,0.000
30.20E-9,0.000
30.20E-9,0.000
30.20E-9,0.000
30.20E-9,0.000
30.20E-9,0.000
30.20E-9,0.000
30.20E-9,0.000
30.21E-9,0.000
30.21E-9,0.000
30.22E-9,0.000
30.23E-9,0.000
30.25E-9,0.000
30.26E-9,0.000
30.28E-9,0.000
30.29E-9,0.000
30.31E-9,0.000
30.34E-9,0.000
30.37E-9,0.000
30.43E-9,0.000
30.49E-9,0.000
30.58E-9,0.000
30.69E-9,0.000
30.84E-9,0.000
31.02E-9,0.000
31.21E-9,0.000
31.42E-9,0.000
31.51E-9,0.000
31.70E-9,0.000
31.90E-9,0.000
32.20E-9,0.000
32.50E-9,0.000
32.50E-9,0.000
32.50E-9,0.000
32.50E-9,0.000
32.50E-9,0.000
32.50E-9,0.000
32.51E-9,0.000
32.51E-9,0.000
32.52E-9,0.000
32.53E-9,0.000
32.53E-9,0.000
32.53E-9,0.000
32.54E-9,0.000
32.54E-9,0.000
32.54E-9,0.000
